ID,TP,FP,TN,FN
1,39,14,28,3
2,31,12,30,11
3,60,15,75,30
4,60,32,58,30
5,120,16,44,26
6,125,16,44,28
7,119,17,43,34
8,80,16,76,10
9,69,16,69,17
10,69,1,14,82
11,106,4,1,45
12,56,21,38,13
13,59,16,43,10
14,66,13,59,14
15,58,9,47,14
16,85,25,57,45
17,95,25,57,35
18,81,22,60,49
19,91,22,60,39
20,95,16,85,13
21,72,13,75,18
22,80,17,88,22
23,75,8,42,23
24,62,17,67,13
25,77,7,53,13
26,91,28,92,29
27,100,11,109,20
28,70,2,28,12
29,17,2,28,13
30,29,8,22,1
31,88,62,58,32
32,59,24,96,61
33,93,39,111,57
34,135,63,87,15
35,94,30,70,8
36,88,14,84,15
37,116,50,81,16
38,86,12,53,12
39,97,12,77,13
40,42,5,25,8
41,36,7,23,14
42,32,10,20,18
43,208,83,136,11
44,184,53,143,12
45,85,8,42,17
46,104,25,185,104
47,142,11,89,61
48,154,1,99,49
49,90,15,85,14
50,126,90,90,54
51,148,31,149,32
52,61,31,19,22
53,37,5,47,7
54,37,0,52,7
55,48,26,34,7
56,95,17,83,10
57,28,6,14,13
58,107,24,162,80
59,63,1,19,45
60,34,2,23,26
61,89,7,28,16
62,103,16,19,2
63,77,7,23,26
64,72,9,21,31
65,72,8,22,31
66,52,5,17,30
67,38,1,21,44
68,69,3,19,13
69,81,8,87,22
70,51,7,23,19
71,29,1,40,17
72,34,2,39,12
73,23,10,31,23
74,31,16,25,15
75,50,11,12,2
