ID,TP,FP,TN,FN
1,7,9,91,21
2,8,10,19,13
3,36,2,90,31
4,36,11,45,8
5,69,34,66,22
6,58,16,39,7
7,24,100,428,21
8,19,24,51,1
9,23,5,22,3
10,49,6,25,24
11,22,1,62,9
12,22,20,14,9
13,47,74,88,1
14,20,0,25,5
15,7,0,30,3
16,30,14,23,33
17,53,30,48,19
18,14,14,15,0
19,39,3,43,3
20,13,36,93,8
21,10,23,106,11
22,10,13,17,0
23,5,78,1214,4
24,60,14,26,15
25,24,6,34,14
26,18,5,15,2
27,8,6,22,14
28,26,79,192,1
29,2,2,33,15
30,13,11,57,4
31,145,19,56,30
32,144,16,59,31
33,122,8,67,53
34,86,3,72,89
35,109,0,75,66
36,18,14,41,6
37,44,8,54,14
