ID,TP,FP,TN,FN
1,20,15,7,8
2,9,42,47,0
3,9,25,48,4
4,15,9,22,0
5,6,9,24,0
6,12,6,19,5
7,10,13,44,3
8,17,7,26,0
9,3,3,18,0
10,4,6,36,2
11,3,4,26,1
12,3,10,75,5
13,7,8,70,1
14,44,31,281,12
15,3,6,65,3
16,4,2,27,0
17,15,10,170,0
18,8,9,155,0
19,8,7,125,6
20,20,2,38,1
21,21,12,233,29
22,95,28,583,0
23,9,4,87,0
24,3,3,73,4
25,50,7,183,2
26,8,9,268,0
27,33,5,171,9
28,20,23,787,0
29,34,16,550,0
30,7,30,1186,10
31,24,3,520,1
32,9,0,202,4
33,10,0,7,3
34,23,0,32,6
35,51,0,32,2
